"GEOID","census_tract","borough","total_population"
"36005044400","Census Tract 444, Bronx County, New York"," Bronx County",3576
"36005044800","Census Tract 448, Bronx County, New York"," Bronx County",2181
"36005044901","Census Tract 449.01, Bronx County, New York"," Bronx County",1465
"36005044902","Census Tract 449.02, Bronx County, New York"," Bronx County",2031
"36005045101","Census Tract 451.01, Bronx County, New York"," Bronx County",1531
"36005045102","Census Tract 451.02, Bronx County, New York"," Bronx County",1893
"36005045600","Census Tract 456, Bronx County, New York"," Bronx County",3275
"36005045800","Census Tract 458, Bronx County, New York"," Bronx County",5243
"36005046000","Census Tract 460, Bronx County, New York"," Bronx County",2849
"36005046201","Census Tract 462.01, Bronx County, New York"," Bronx County",28926
"36005046202","Census Tract 462.02, Bronx County, New York"," Bronx County",9409
"36005048400","Census Tract 484, Bronx County, New York"," Bronx County",4377
"36005050400","Census Tract 504, Bronx County, New York"," Bronx County",63
"36005051600","Census Tract 516, Bronx County, New York"," Bronx County",4439
"36081000100","Census Tract 1, Queens County, New York"," Queens County",6403
"36081000200","Census Tract 2, Queens County, New York"," Queens County",3364
"36081000400","Census Tract 4, Queens County, New York"," Queens County",4559
"36081000600","Census Tract 6, Queens County, New York"," Queens County",3807
"36081000700","Census Tract 7, Queens County, New York"," Queens County",5815
"36081000800","Census Tract 8, Queens County, New York"," Queens County",3543
"36081001000","Census Tract 10, Queens County, New York"," Queens County",3884
"36081001200","Census Tract 12, Queens County, New York"," Queens County",4998
"36081001400","Census Tract 14, Queens County, New York"," Queens County",3781
"36081001600","Census Tract 16, Queens County, New York"," Queens County",3244
"36081001800","Census Tract 18, Queens County, New York"," Queens County",3443
"36081001900","Census Tract 19, Queens County, New York"," Queens County",1655
"36081002000","Census Tract 20, Queens County, New York"," Queens County",1950
"36081002200","Census Tract 22, Queens County, New York"," Queens County",2178
"36081002400","Census Tract 24, Queens County, New York"," Queens County",2278
"36081002500","Census Tract 25, Queens County, New York"," Queens County",6392
"36081002600","Census Tract 26, Queens County, New York"," Queens County",2467
"36081002800","Census Tract 28, Queens County, New York"," Queens County",2971
"36081003000","Census Tract 30, Queens County, New York"," Queens County",1587
"36081003100","Census Tract 31, Queens County, New York"," Queens County",1058
"36081003200","Census Tract 32, Queens County, New York"," Queens County",1613
"36081003300","Census Tract 33, Queens County, New York"," Queens County",2806
"36081003400","Census Tract 34, Queens County, New York"," Queens County",2389
"36081003600","Census Tract 36, Queens County, New York"," Queens County",3724
"36081003700","Census Tract 37, Queens County, New York"," Queens County",0
"36081003800","Census Tract 38, Queens County, New York"," Queens County",2521
"36081003900","Census Tract 39, Queens County, New York"," Queens County",1646
"36081004001","Census Tract 40.01, Queens County, New York"," Queens County",2228
"36081004002","Census Tract 40.02, Queens County, New York"," Queens County",1551
"36081004200","Census Tract 42, Queens County, New York"," Queens County",4801
"36081004300","Census Tract 43, Queens County, New York"," Queens County",2418
"36081004401","Census Tract 44.01, Queens County, New York"," Queens County",3716
"36081004500","Census Tract 45, Queens County, New York"," Queens County",3533
"36081004700","Census Tract 47, Queens County, New York"," Queens County",4011
"36081005000","Census Tract 50, Queens County, New York"," Queens County",37
"36081005100","Census Tract 51, Queens County, New York"," Queens County",2194
"36081005200","Census Tract 52, Queens County, New York"," Queens County",2746
"36081005300","Census Tract 53, Queens County, New York"," Queens County",4043
