"GEOID","census_tract","borough","total_population","never_married","now_married","divorced"
36005027700,"Census Tract 277, Bronx County, New York"," Bronx County",5892,0.42207936156063,0.409665262691199,0.109066725781423
36005027900,"Census Tract 279, Bronx County, New York"," Bronx County",6809,0.434564917127072,0.411256906077348,0.0852900552486188
36005028100,"Census Tract 281, Bronx County, New York"," Bronx County",3974,0.433538979248458,0.325855300056085,0.126472237801458
36005028300,"Census Tract 283, Bronx County, New York"," Bronx County",3370,0.490707789640174,0.321866350336101,0.132463424278371
36005028400,"Census Tract 284, Bronx County, New York"," Bronx County",740,0.553412462908012,0.34272997032641,0.0608308605341246
36005028500,"Census Tract 285, Bronx County, New York"," Bronx County",3233,0.405453257790368,0.471671388101983,0.0711756373937677
36005028600,"Census Tract 286, Bronx County, New York"," Bronx County",1288,0.318840579710145,0.547826086956522,0.0541062801932367
36005028700,"Census Tract 287, Bronx County, New York"," Bronx County",3281,0.440015942606616,0.455958549222798,0.0538062973296134
36005028800,"Census Tract 288, Bronx County, New York"," Bronx County",3527,0.308091286307054,0.589557399723375,0.0421853388658368
36005028900,"Census Tract 289, Bronx County, New York"," Bronx County",4326,0.460435621725944,0.360904328646264,0.114419630548663
36005029301,"Census Tract 293.01, Bronx County, New York"," Bronx County",1989,0.289142857142857,0.512,0.104
36005029302,"Census Tract 293.02, Bronx County, New York"," Bronx County",5597,0.305299291997425,0.493885432310663,0.111564042051062
36005029500,"Census Tract 295, Bronx County, New York"," Bronx County",4725,0.395149065184437,0.441131884790298,0.0876705406771097
36005029600,"Census Tract 296, Bronx County, New York"," Bronx County",1660,0.457564575645756,0.437638376383764,0.0664206642066421
36005029700,"Census Tract 297, Bronx County, New York"," Bronx County",3749,0.26865671641791,0.535691109669046,0.0895522388059701
36005030000,"Census Tract 300, Bronx County, New York"," Bronx County",5801,0.39290695357641,0.428172942817294,0.0878661087866109
36005030100,"Census Tract 301, Bronx County, New York"," Bronx County",1308,0.227118644067797,0.456779661016949,0.088135593220339
36005030200,"Census Tract 302, Bronx County, New York"," Bronx County",9607,0.387495499819993,0.453498139925597,0.0865234609384375
36005030701,"Census Tract 307.01, Bronx County, New York"," Bronx County",5248,0.251098096632504,0.507076622742801,0.103465104929234
36005030900,"Census Tract 309, Bronx County, New York"," Bronx County",3896,0.186274509803922,0.490522875816993,0.112745098039216
36005031000,"Census Tract 310, Bronx County, New York"," Bronx County",4869,0.271998112762444,0.48619957537155,0.0660533144609578
36005031200,"Census Tract 312, Bronx County, New York"," Bronx County",2015,0.389159561510353,0.481729598051157,0.0578562728380024
36005031400,"Census Tract 314, Bronx County, New York"," Bronx County",2300,0.356049382716049,0.489382716049383,0.0849382716049383
36005031600,"Census Tract 316, Bronx County, New York"," Bronx County",1956,0.330374128091313,0.51997463538364,0.0627774254914394
36005031800,"Census Tract 318, Bronx County, New York"," Bronx County",2252,0.43843379701185,0.457496136012365,0.0427614631633179
36005031900,"Census Tract 319, Bronx County, New York"," Bronx County",645,0.996899224806202,0,0
36005032300,"Census Tract 323, Bronx County, New York"," Bronx County",4595,0.330521472392638,0.466513292433538,0.109406952965235
36005032400,"Census Tract 324, Bronx County, New York"," Bronx County",2954,0.428039702233251,0.365591397849462,0.144334160463193
36005032600,"Census Tract 326, Bronx County, New York"," Bronx County",3576,0.332409012131716,0.509878682842288,0.0783362218370884
36005032800,"Census Tract 328, Bronx County, New York"," Bronx County",4260,0.462841015992474,0.368767638758231,0.0928190655377861
36005033000,"Census Tract 330, Bronx County, New York"," Bronx County",5697,0.444205084015511,0.441189142610944,0.0717363205514864
36005033201,"Census Tract 332.01, Bronx County, New York"," Bronx County",4125,0.421205098493627,0.388180764774044,0.133256083429896
36005033202,"Census Tract 332.02, Bronx County, New York"," Bronx County",4207,0.479535558780842,0.359071117561684,0.0896952104499274
36005033400,"Census Tract 334, Bronx County, New York"," Bronx County",1441,0.441798941798942,0.387125220458554,0.119929453262787
36005033500,"Census Tract 335, Bronx County, New York"," Bronx County",2207,0.460435475305364,0.382368560807223,0.073287307488051
36005033600,"Census Tract 336, Bronx County, New York"," Bronx County",6613,0.572470373746582,0.27383773928897,0.084412032816773
36005033700,"Census Tract 337, Bronx County, New York"," Bronx County",2277,0.323875802997859,0.5203426124197,0.0910064239828694
36005033800,"Census Tract 338, Bronx County, New York"," Bronx County",4247,0.470465393794749,0.4131861575179,0.0695107398568019
