"BoroCT2010","census_tract","borough","total_population","data"
365033800,"Census Tract 338, Bronx County, New York"," Bronx County",4247,4247
365034000,"Census Tract 340, Bronx County, New York"," Bronx County",4582,4582
365034200,"Census Tract 342, Bronx County, New York"," Bronx County",2128,2128
365034300,"Census Tract 343, Bronx County, New York"," Bronx County",1755,1755
365034400,"Census Tract 344, Bronx County, New York"," Bronx County",2324,2324
365034500,"Census Tract 345, Bronx County, New York"," Bronx County",3461,3461
365034800,"Census Tract 348, Bronx County, New York"," Bronx County",7306,7306
365035000,"Census Tract 350, Bronx County, New York"," Bronx County",1781,1781
365035100,"Census Tract 351, Bronx County, New York"," Bronx County",3296,3296
365035600,"Census Tract 356, Bronx County, New York"," Bronx County",2367,2367
365035800,"Census Tract 358, Bronx County, New York"," Bronx County",7558,7558
365035900,"Census Tract 359, Bronx County, New York"," Bronx County",1960,1960
365036000,"Census Tract 360, Bronx County, New York"," Bronx County",3063,3063
365036100,"Census Tract 361, Bronx County, New York"," Bronx County",6099,6099
365036300,"Census Tract 363, Bronx County, New York"," Bronx County",7977,7977
365036400,"Census Tract 364, Bronx County, New York"," Bronx County",2389,2389
365036501,"Census Tract 365.01, Bronx County, New York"," Bronx County",3904,3904
365036502,"Census Tract 365.02, Bronx County, New York"," Bronx County",2002,2002
365036700,"Census Tract 367, Bronx County, New York"," Bronx County",2709,2709
365036800,"Census Tract 368, Bronx County, New York"," Bronx County",2186,2186
365036901,"Census Tract 369.01, Bronx County, New York"," Bronx County",2276,2276
365036902,"Census Tract 369.02, Bronx County, New York"," Bronx County",2236,2236
365037000,"Census Tract 370, Bronx County, New York"," Bronx County",2463,2463
365037100,"Census Tract 371, Bronx County, New York"," Bronx County",3908,3908
365037200,"Census Tract 372, Bronx County, New York"," Bronx County",2052,2052
365037300,"Census Tract 373, Bronx County, New York"," Bronx County",5463,5463
365037400,"Census Tract 374, Bronx County, New York"," Bronx County",3713,3713
365037504,"Census Tract 375.04, Bronx County, New York"," Bronx County",3690,3690
365037600,"Census Tract 376, Bronx County, New York"," Bronx County",2440,2440
365037800,"Census Tract 378, Bronx County, New York"," Bronx County",3233,3233
365037900,"Census Tract 379, Bronx County, New York"," Bronx County",5287,5287
365038000,"Census Tract 380, Bronx County, New York"," Bronx County",4755,4755
365038100,"Census Tract 381, Bronx County, New York"," Bronx County",6534,6534
365038200,"Census Tract 382, Bronx County, New York"," Bronx County",2666,2666
365038301,"Census Tract 383.01, Bronx County, New York"," Bronx County",4356,4356
365038302,"Census Tract 383.02, Bronx County, New York"," Bronx County",5941,5941
365038500,"Census Tract 385, Bronx County, New York"," Bronx County",5025,5025
365038600,"Census Tract 386, Bronx County, New York"," Bronx County",7477,7477
365038700,"Census Tract 387, Bronx County, New York"," Bronx County",3297,3297
365038800,"Census Tract 388, Bronx County, New York"," Bronx County",2471,2471
365038900,"Census Tract 389, Bronx County, New York"," Bronx County",5908,5908
365039000,"Census Tract 390, Bronx County, New York"," Bronx County",3191,3191
365039100,"Census Tract 391, Bronx County, New York"," Bronx County",6808,6808
365039200,"Census Tract 392, Bronx County, New York"," Bronx County",1750,1750
365039300,"Census Tract 393, Bronx County, New York"," Bronx County",8433,8433
365039400,"Census Tract 394, Bronx County, New York"," Bronx County",4961,4961
365039500,"Census Tract 395, Bronx County, New York"," Bronx County",3980,3980
365039600,"Census Tract 396, Bronx County, New York"," Bronx County",4287,4287
365039700,"Census Tract 397, Bronx County, New York"," Bronx County",4106,4106
365039800,"Census Tract 398, Bronx County, New York"," Bronx County",2769,2769
365039901,"Census Tract 399.01, Bronx County, New York"," Bronx County",5168,5168
