"GEOID","census_tract","borough","total_population","disability"
36005028300,"Census Tract 283, Bronx County, New York"," Bronx County",3370,0.134124629080119
36005028400,"Census Tract 284, Bronx County, New York"," Bronx County",740,0.286363636363636
36005028500,"Census Tract 285, Bronx County, New York"," Bronx County",3233,0.140426848128673
36005028600,"Census Tract 286, Bronx County, New York"," Bronx County",1288,0.100155279503106
36005028700,"Census Tract 287, Bronx County, New York"," Bronx County",3281,0.0908259676927766
36005028800,"Census Tract 288, Bronx County, New York"," Bronx County",3527,0.094414516586334
36005028900,"Census Tract 289, Bronx County, New York"," Bronx County",4326,0.108153883377692
36005029301,"Census Tract 293.01, Bronx County, New York"," Bronx County",1989,0.108574610244989
36005029302,"Census Tract 293.02, Bronx County, New York"," Bronx County",5597,0.100971229613341
36005029500,"Census Tract 295, Bronx County, New York"," Bronx County",4725,0.103280423280423
36005029600,"Census Tract 296, Bronx County, New York"," Bronx County",1660,0.109638554216867
36005029700,"Census Tract 297, Bronx County, New York"," Bronx County",3749,0.127955493741307
36005030000,"Census Tract 300, Bronx County, New York"," Bronx County",5801,0.11756593690743
36005030100,"Census Tract 301, Bronx County, New York"," Bronx County",1308,0.158576051779935
36005030200,"Census Tract 302, Bronx County, New York"," Bronx County",9607,0.148641615488706
36005030701,"Census Tract 307.01, Bronx County, New York"," Bronx County",5248,0.118330792682927
36005030900,"Census Tract 309, Bronx County, New York"," Bronx County",3896,0.127855329949239
36005031000,"Census Tract 310, Bronx County, New York"," Bronx County",4869,0.151812688821752
36005031200,"Census Tract 312, Bronx County, New York"," Bronx County",2015,0.0898263027295285
36005031400,"Census Tract 314, Bronx County, New York"," Bronx County",2300,0.103333333333333
36005031600,"Census Tract 316, Bronx County, New York"," Bronx County",1956,0.107873210633947
36005031800,"Census Tract 318, Bronx County, New York"," Bronx County",2252,0.0958837772397094
36005031900,"Census Tract 319, Bronx County, New York"," Bronx County",645,0.0635658914728682
36005032300,"Census Tract 323, Bronx County, New York"," Bronx County",4595,0.135364526659412
36005032400,"Census Tract 324, Bronx County, New York"," Bronx County",2954,0.162317858353101
36005032600,"Census Tract 326, Bronx County, New York"," Bronx County",3576,0.105091770278271
36005032800,"Census Tract 328, Bronx County, New York"," Bronx County",4260,0.152347417840376
